Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Volaille et gibier,dinde escalope,R,2007,7,1,ng/g,Bromés,HBCD alpha,0.0323,0.0323,0.0323,0.0323
Volaille et gibier,dinde escalope,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.0123,0.0123,0.0123,0.0123
Volaille et gibier,dinde escalope,R,2008,2,1,ng/g,Bromés,HBCD alpha,"< 0,0024",0,0.0024,0.0012
Volaille et gibier,dinde escalope,R,2008,9,1,ng/g,Bromés,HBCD alpha,0.0002,0.0002,0.0002,0.0002
Volaille et gibier,dinde escalope,R,2008,8,1,ng/g,Bromés,HBCD alpha,0.0696,0.0696,0.0696,0.0696
Volaille et gibier,dinde escalope,R,2008,9,2,ng/g,Bromés,HBCD alpha,0.0398,0.0398,0.0398,0.0398
Volaille et gibier,dinde escalope,R,2009,5,2,ng/g,Bromés,HBCD alpha,0.0168,0.0168,0.0168,0.0168
Volaille et gibier,dinde escalope,R,2008,2,2,ng/g,Bromés,HBCD alpha,0.0003,0.0003,0.0003,0.0003
Volaille et gibier,dinde escalope,R,2009,6,2,ng/g,Bromés,HBCD alpha,0.0006,0.0006,0.0006,0.0006
Volaille et gibier,dinde escalope,R,2008,34,2,ng/g,Bromés,HBCD alpha,"< 0,003",0,0.003,0.0015
Volaille et gibier,dinde escalope,R,2008,5,1,ng/g,Bromés,HBCD alpha,0.0006,0.0006,0.0006,0.0006
Volaille et gibier,dinde escalope,R,2008,7,2,ng/g,Bromés,HBCD alpha,0.0042,0.0042,0.0042,0.0042
Volaille et gibier,dinde escalope,R,2008,6,1,ng/g,Bromés,HBCD alpha,0.0249,0.0249,0.0249,0.0249
Volaille et gibier,dinde escalope,R,2008,1,2,ng/g,Bromés,HBCD alpha,0.0002,0.0002,0.0002,0.0002
Volaille et gibier,dinde escalope,R,2008,8,2,ng/g,Bromés,HBCD alpha,0.4010,0.4010,0.4010,0.4010
"Entremets, crèmes desserts et laits gélifiés",mousse au chocolat rayon frais,N,2007,99,1,ng/g,Bromés,HBCD alpha,"< 0,0024",0,0.0024,0.0012
"Entremets, crèmes desserts et laits gélifiés",mousse au chocolat rayon frais,N,2008,99,2,ng/g,Bromés,HBCD alpha,0.0018,0.0018,0.0018,0.0018
"Entremets, crèmes desserts et laits gélifiés",chocolat viennois ou liégeois,N,2007,99,1,ng/g,Bromés,HBCD alpha,0.0022,0.0022,0.0022,0.0022
"Entremets, crèmes desserts et laits gélifiés",chocolat viennois ou liégeois,N,2008,99,2,ng/g,Bromés,HBCD alpha,0.0014,0.0014,0.0014,0.0014
"Entremets, crèmes desserts et laits gélifiés",crème caramel,N,2007,99,1,ng/g,Bromés,HBCD alpha,0.0031,0.0031,0.0031,0.0031
"Entremets, crèmes desserts et laits gélifiés",crème caramel,N,2008,99,2,ng/g,Bromés,HBCD alpha,0.0029,0.0029,0.0029,0.0029
"Entremets, crèmes desserts et laits gélifiés",clafoutis aux fruits,R,2009,6,2,ng/g,Bromés,HBCD alpha,0.0053,0.0053,0.0053,0.0053
"Entremets, crèmes desserts et laits gélifiés",clafoutis aux fruits,R,2008,6,1,ng/g,Bromés,HBCD alpha,0.0031,0.0031,0.0031,0.0031
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2007,1,1,ng/g,Bromés,HBCD alpha,0.0001,0.0001,0.0001,0.0001
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,2,1,ng/g,Bromés,HBCD alpha,0.0098,0.0098,0.0098,0.0098
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,5,1,ng/g,Bromés,HBCD alpha,"< 0,003",0,0.003,0.0015
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,2,2,ng/g,Bromés,HBCD alpha,"< 0,005",0,0.005,0.0025
