Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Fromages,camembert et apparenté,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Fromages,camembert et apparenté,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Fromages,"cantal, morbier et apparenté",N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Fromages,"cantal, morbier et apparenté",N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Fromages,chèvre,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Fromages,chèvre,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Fromages,edam et apparenté,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Fromages,edam et apparenté,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Fromages,gruyère,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Fromages,gruyère,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Margarine,margarine allégée,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Margarine,margarine allégée,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Viande,bœuf steak,R,2007,1,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,bœuf steak,R,2007,7,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Viande,bœuf steak,R,2007,34,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Viande,bœuf steak,R,2008,1,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,bœuf steak,R,2008,2,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Viande,bœuf steak,R,2008,2,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,bœuf steak,R,2008,5,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Viande,bœuf steak,R,2008,6,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,bœuf steak,R,2008,7,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,bœuf steak,R,2008,8,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,bœuf steak,R,2008,8,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,bœuf steak,R,2008,9,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,bœuf steak,R,2008,9,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Viande,bœuf steak,R,2008,34,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,bœuf steak,R,2009,5,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,bœuf steak,R,2009,6,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,côte de porc,R,2007,1,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,côte de porc,R,2007,34,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Viande,côte de porc,R,2008,1,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,côte de porc,R,2008,2,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,côte de porc,R,2008,2,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,côte de porc,R,2008,5,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Viande,côte de porc,R,2008,6,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Viande,côte de porc,R,2008,7,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
