Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,1,2,pg/g PF,Dioxines PCB,Lipides (%),4.0,0,,
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),1.48,0,,
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),3.21,0,,
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),1.63,0,,
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,6,1,pg/g PF,Dioxines PCB,Lipides (%),1.89,0,,
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,8,1,pg/g PF,Dioxines PCB,Lipides (%),3.62,0,,
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,8,2,pg/g PF,Dioxines PCB,Lipides (%),4.19,0,,
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,9,1,pg/g PF,Dioxines PCB,Lipides (%),4.35,0,,
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),2.99,0,,
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),2.08,0,,
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2009,6,2,pg/g PF,Dioxines PCB,Lipides (%),3.3,0,,
Lait,lait demi-écrémé,R,2007,1,1,pg/g PF,Dioxines PCB,Lipides (%),1.05,0,,
Lait,lait demi-écrémé,R,2007,7,1,pg/g PF,Dioxines PCB,Lipides (%),1.22,0,,
Lait,lait demi-écrémé,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),1.11,0,,
Lait,lait demi-écrémé,R,2008,1,2,pg/g PF,Dioxines PCB,Lipides (%),0.94,0,,
Lait,lait demi-écrémé,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),1.15,0,,
Lait,lait demi-écrémé,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),1.1,0,,
Lait,lait demi-écrémé,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),1.22,0,,
Lait,lait demi-écrémé,R,2008,6,1,pg/g PF,Dioxines PCB,Lipides (%),0.77,0,,
Lait,lait demi-écrémé,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),1.02,0,,
Lait,lait demi-écrémé,R,2008,8,1,pg/g PF,Dioxines PCB,Lipides (%),1.0,0,,
Lait,lait demi-écrémé,R,2008,8,2,pg/g PF,Dioxines PCB,Lipides (%),0.74,0,,
Lait,lait demi-écrémé,R,2008,9,1,pg/g PF,Dioxines PCB,Lipides (%),0.85,0,,
Lait,lait demi-écrémé,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),0.99,0,,
Lait,lait demi-écrémé,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),1.11,0,,
Lait,lait demi-écrémé,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),0.86,0,,
Lait,lait demi-écrémé,R,2009,6,2,pg/g PF,Dioxines PCB,Lipides (%),1.02,0,,
Lait,lait écrémé,R,2007,1,1,pg/g PF,Dioxines PCB,Lipides (%),0.01,0,,
Lait,lait écrémé,R,2007,7,1,pg/g PF,Dioxines PCB,Lipides (%),0.02,0,,
Lait,lait écrémé,R,2008,1,2,pg/g PF,Dioxines PCB,Lipides (%),0.01,0,,
Lait,lait écrémé,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),0.04,0,,
Lait,lait écrémé,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),0.03,0,,
Lait,lait écrémé,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),0.11,0,,
Lait,lait écrémé,R,2008,6,1,pg/g PF,Dioxines PCB,Lipides (%),0.02,0,,
Lait,lait écrémé,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),0.03,0,,
Lait,lait écrémé,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),0.07,0,,
Lait,lait écrémé,R,2009,6,2,pg/g PF,Dioxines PCB,Lipides (%),0.06,0,,
Lait,lait entier,R,2007,1,1,pg/g PF,Dioxines PCB,Lipides (%),2.76,0,,
Lait,lait entier,R,2007,7,1,pg/g PF,Dioxines PCB,Lipides (%),2.68,0,,
Lait,lait entier,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),2.69,0,,
Lait,lait entier,R,2008,1,2,pg/g PF,Dioxines PCB,Lipides (%),1.55,0,,
Lait,lait entier,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),3.03,0,,
Lait,lait entier,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),2.69,0,,
Lait,lait entier,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),2.58,0,,
Lait,lait entier,R,2008,8,1,pg/g PF,Dioxines PCB,Lipides (%),2.86,0,,
Lait,lait entier,R,2008,8,2,pg/g PF,Dioxines PCB,Lipides (%),2.73,0,,
Lait,lait entier,R,2008,9,1,pg/g PF,Dioxines PCB,Lipides (%),2.38,0,,
Lait,lait entier,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),2.59,0,,
Lait,lait entier,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),2.82,0,,
Ultra-frais laitier,crème fraîche,R,2007,1,1,pg/g PF,Dioxines PCB,Lipides (%),16.28,0,,
Ultra-frais laitier,crème fraîche,R,2007,7,1,pg/g PF,Dioxines PCB,Lipides (%),12.71,0,,
Ultra-frais laitier,crème fraîche,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),15.9,0,,
